Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal
230919QVMT5U5P,Completed,787235959220,Standard Local-J&T Express,pickup,2023-09-27 19:10,2023-09-21 12:35,2023-09-19 19:10,2023-09-19 19:10,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230919R2RY89P0,Completed,SPEPH033782267799,Standard Local-SPX Express,pickup,2023-09-27 21:10,2023-09-21 13:55,2023-09-19 21:00,2023-09-19 21:10,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230919R448XESH,Completed,SPEPH037090739259,Standard Local-SPX Express,pickup,2023-09-27 21:34,2023-09-21 13:55,2023-09-19 21:24,2023-09-19 21:34,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230919R9DW8F31,Completed,SPEPH037081423199,Standard Local-SPX Express,pickup,2023-09-27 23:09,2023-09-25 12:05,2023-09-19 22:59,2023-09-19 23:09,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230920SCACPJJB,Completed,SPEPH037666230719,Standard Local-SPX Express,pickup,2023-10-02 09:33,2023-09-22 17:00,2023-09-20 09:23,2023-09-20 09:33,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1,5
230920SJBCPRSF,Completed,787235972802,Standard Local-J&T Express,pickup,2023-09-28 11:21,2023-09-21 12:35,2023-09-20 11:11,2023-09-20 11:21,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230920SJU66P3G,Completed,SPEPH031291691609,Standard Local-SPX Express,pickup,2023-10-02 11:30,2023-09-21 13:55,2023-09-20 11:20,2023-09-20 11:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1,290
230920STR331E3,Completed,787268857921,Standard Local-J&T Express,pickup,2023-10-01 13:42,2023-09-27 11:52,2023-09-20 13:41,2023-09-20 13:42,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230920SW0FGHMC,Completed,787235999795,Standard Local-J&T Express,pickup,2023-10-02 14:32,2023-09-21 12:35,2023-09-20 14:22,2023-09-20 14:32,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1,290
230920T333X8W1,Completed,787240882159,Standard Local-J&T Express,pickup,2023-09-28 16:11,2023-09-22 14:11,2023-09-20 16:11,2023-09-20 16:11,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230920T7J0UUEU,Completed,SPEPH034393014909,Standard Local-SPX Express,pickup,2023-10-02 17:41,2023-09-21 13:55,2023-09-20 17:31,2023-09-20 17:41,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Skirt(New),XS-M (21-28 inches)",290,290,1,290
230920T9R7NVYR,Completed,SPEPH031969406789,Standard Local-SPX Express,pickup,2023-10-02 18:11,2023-09-21 13:55,2023-09-20 18:10,2023-09-20 18:11,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Skirt,XS-M (21-28 inches)",290,290,1,290
230920TD037U85,Completed,SPEPH038104787219,Standard Local-SPX Express,pickup,2023-09-28 19:18,2023-09-22 17:00,2023-09-20 19:08,2023-09-20 19:18,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230920TDCFX4SJ,Completed,787253846618,Standard Local-J&T Express,pickup,2023-09-28 19:15,2023-09-25 13:11,2023-09-20 19:15,2023-09-20 19:15,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230920TJTYS3T0,Completed,787253591273,Standard Local-J&T Express,pickup,2023-10-02 21:03,2023-09-25 13:11,2023-09-20 20:53,2023-09-20 21:03,LIVE SELLING (WELLA MONTEFALCON),,1154,1154,1,1154
230921TX4EU14Y,Completed,787259929054,Standard Local-J&T Express,pickup,2023-09-29 00:25,2023-09-25 13:11,2023-09-21 00:15,2023-09-21 00:25,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230921TXKBQ56B,Completed,SPEPH034828547309,Standard Local-SPX Express,pickup,2023-09-29 00:33,2023-09-25 12:05,2023-09-21 00:23,2023-09-21 00:33,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230921UQSCQMDR,Completed,787260039978,Standard Local-J&T Express,pickup,2023-09-29 08:04,2023-09-25 13:21,2023-09-21 07:54,2023-09-21 08:04,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230921UUUHE7EU,Completed,SPEPH032744450169,Standard Local-SPX Express,pickup,2023-10-03 09:17,2023-09-22 17:00,2023-09-21 09:07,2023-09-21 09:17,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1,290
230921UWRMGFMX,Completed,787244457014,Standard Local-J&T Express,pickup,2023-09-29 09:41,2023-09-22 14:11,2023-09-21 09:41,2023-09-21 09:41,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230921V1PX62W0,Completed,SPEPH038029033369,Standard Local-SPX Express,pickup,2023-10-03 11:01,2023-09-22 17:00,2023-09-21 10:51,2023-09-21 11:01,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,XS-M (21-28 inches)",290,290,1,290
230921VA6KUDUQ,Completed,787240714316,Standard Local-J&T Express,pickup,2023-09-29 13:33,2023-09-22 14:11,2023-09-21 13:23,2023-09-21 13:33,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230921VP0DKSYJ,Completed,787259866905,Standard Local-J&T Express,pickup,2023-10-03 16:55,2023-09-25 13:11,2023-09-21 16:55,2023-09-21 16:55,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1,5
230921VYSMPTBA,Completed,787249997513,Standard Local-J&T Express,pickup,2023-10-03 20:00,2023-09-25 13:22,2023-09-21 19:50,2023-09-21 20:00,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1,5
23092102SD9VEU,Completed,SPEPH034702758879,Standard Local-SPX Express,pickup,2023-10-03 21:53,2023-09-26 15:11,2023-09-21 21:43,2023-09-21 21:53,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Pink Skirt,L-XL (29-34 inches)",290,290,1,290
230921040MA13N,Completed,787253714388,Standard Local-J&T Express,pickup,2023-10-02 22:05,2023-09-25 13:11,2023-09-21 22:05,2023-09-21 22:05,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
23092107JRW008,Completed,SPEPH036592147569,Standard Local-SPX Express,pickup,2023-10-03 23:10,2023-09-22 17:00,2023-09-21 23:09,2023-09-21 23:10,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1,290
23092109A9JNA2,Completed,787251282203,Standard Local-J&T Express,pickup,2023-09-29 23:42,2023-09-26 12:25,2023-09-21 23:40,2023-09-21 23:42,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
23092218R43J17,Completed,787264771974,Standard Local-J&T Express,pickup,2023-09-30 09:12,2023-09-26 12:25,2023-09-22 09:02,2023-09-22 09:12,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
2309221DK0AJWU,Completed,SPEPH036863939999,Standard Local-SPX Express,pickup,2023-10-04 10:39,2023-09-22 17:00,2023-09-22 10:29,2023-09-22 10:39,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1,290
2309221DRW50S9,Completed,SPEPH035804306299,Standard Local-SPX Express,pickup,2023-10-04 10:42,2023-09-26 15:11,2023-09-22 10:32,2023-09-22 10:42,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1,290
2309221G4DQNFE,Completed,787259937899,Standard Local-J&T Express,pickup,2023-09-30 11:14,2023-09-25 13:11,2023-09-22 11:14,2023-09-22 11:14,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
2309221GWX3AF6,Completed,787247458739,Standard Local-J&T Express,pickup,2023-09-30 11:39,2023-09-23 12:07,2023-09-22 11:29,2023-09-22 11:39,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
2309221SG7P6C6,Completed,787247620872,Standard Local-J&T Express,pickup,2023-09-30 14:12,2023-09-23 12:07,2023-09-22 14:02,2023-09-22 14:12,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
