Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Order Complete Time
2405113G8VCAW6,Completed,SPEPH044607401005,Standard Local-SPX Express,pickup,2024-06-04 18:05,2024-05-13 13:29,2024-05-11 17:55,2024-05-11 18:05,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-14 23:05
2405113H937T1F,Completed,SPEPH042601913295,Standard Local-SPX Express,pickup,2024-06-04 18:23,2024-05-25 11:59,2024-05-11 18:13,2024-05-11 18:23,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-31 10:00
2405125DX18074,Completed,SPEPH047298735705,Standard Local-SPX Express,pickup,2024-06-04 12:29,2024-05-13 13:29,2024-05-12 12:19,2024-05-12 12:29,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 07:27
2405125E12GE9S,Completed,SPEPH048268667995,Standard Local-SPX Express,pickup,2024-06-04 12:31,2024-05-13 13:29,2024-05-12 12:21,2024-05-12 12:31,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-19 10:10
2405125MY1F2QT,Completed,SPEPH046930248655,Shopee Self Pick-up,pickup,2024-06-04 14:25,2024-05-18 12:23,2024-05-12 14:25,2024-05-12 14:25,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-24 08:03
2405125RWY5HJK,Completed,788778100085,Standard Local-J&T Express,pickup,2024-06-04 15:36,2024-05-13 12:42,2024-05-12 15:36,2024-05-12 15:36,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-15 16:22
2405125TJGGXWX,Completed,788786803845,Standard Local-J&T Express,pickup,2024-05-14 16:15,2024-05-13 12:42,2024-05-12 16:05,2024-05-12 16:15,ASSORTED TOPS (ANDRIA PAZ),,104,104,1,104,2024-05-18 17:33
2405125XUDNXRW,Completed,788763988660,Standard Local-J&T Express,pickup,2024-06-04 17:32,2024-05-13 12:42,2024-05-12 17:22,2024-05-12 17:32,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-17 06:39
24051264JXBPNV,Completed,SPEPH040758528525,Standard Local-SPX Express,pickup,2024-06-04 19:14,2024-05-13 13:30,2024-05-12 19:04,2024-05-12 19:14,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-16 16:35
24051268N40CA5,Completed,SPEPH042914453885,Standard Local-SPX Express,pickup,2024-06-04 20:27,2024-05-13 13:30,2024-05-12 20:17,2024-05-12 20:27,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 09:21
2405126BSFYPM0,Completed,SPEPH046039374285,Standard Local-SPX Express,pickup,2024-06-04 21:23,2024-05-13 13:30,2024-05-12 21:13,2024-05-12 21:23,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-21 08:34
2405126D3X300D,Completed,SPEPH042917381125,Standard Local-SPX Express,pickup,2024-06-04 21:47,2024-05-17 13:34,2024-05-12 21:37,2024-05-12 21:47,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-23 09:32
240515CGQY97K5,Completed,SPEPH044397254315,Standard Local-SPX Express,pickup,2024-06-07 08:08,2024-05-18 12:28,2024-05-15 07:58,2024-05-15 08:08,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-20 16:27
240516FET8WXTQ,Completed,SPEPH041311310355,Standard Local-SPX Express,pickup,2024-06-08 12:11,2024-05-20 13:30,2024-05-16 12:01,2024-05-16 12:11,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-22 20:21
240516FGEA1YAD,Completed,SPEPH042909252185,Standard Local-SPX Express,pickup,2024-06-08 12:40,2024-05-18 12:28,2024-05-16 12:30,2024-05-16 12:40,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-23 15:57
240516FGN6B89T,Completed,SPEPH048625422335,Standard Local-SPX Express,pickup,2024-06-08 12:44,2024-05-18 12:28,2024-05-16 12:34,2024-05-16 12:44,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-25 08:13
240516FJHGK25D,Completed,788807385770,Standard Local-J&T Express,pickup,2024-06-08 13:08,2024-05-22 12:06,2024-05-16 13:08,2024-05-16 13:08,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-26 17:14
240516FKQUWHYA,Completed,788800756027,Standard Local-J&T Express,pickup,2024-06-08 13:39,2024-05-18 12:43,2024-05-16 13:29,2024-05-16 13:39,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-28 12:14
